Barbershop Name,Website,Address,Phone,Instagram Link,Instagram Followers,Google Rating,Google Reviews,Estimated Barbers,Instagram Score,Review Score,Rating Score,Barber Score,Social Score,Lead Score,Lead Rank,Lead Tier
Boston Barber & Tattoo Co.,http://www.bostonbarber.com/,"113 Salem St, Boston, MA 02113",(617) 742-0611,https://www.instagram.com/bostonbarbertattooco/,26000,4.5,494,7,30,25,12,15,10,92,1,Tier 1
Barber's Den,https://barbersden.com/,"191 Washington St, Somerville, MA 02143",(617) 606-7572,https://www.instagram.com/barbersden/,11000,4.8,222,5,30,20,15,15,10,90,2,Tier 1
Bostonian Barber Shop,http://www.bostonianbarbershop.com/,"92 Van Ness St, Boston, MA 02215",(857) 317-2894,https://www.instagram.com/bostonianbarbershop/,21000,4.6,297,6,30,20,15,15,10,90,3,Tier 1
Title City Barbers,http://www.titlecitybarbers.com/,"1310 Commonwealth Ave, Allston, MA 02134",(617) 505-6493,https://www.instagram.com/titlecitybarbers/,12000,4.9,284,7,30,20,15,15,10,90,4,Tier 1
Marvelous Barber Lounge,http://marvelouscuts.com/boston,"82 Broad St, Boston, MA 02110",(857) 449-0072,https://www.instagram.com/marvelouscuts/,8386,4.8,374,6,20,25,15,15,10,85,5,Tier 1
Mr. A Barbershop,http://www.mrabarbershop.com/,"400 Dorchester St, South Boston, MA 02127",(617) 449-9825,https://www.instagram.com/mr.a.barbershop/,5061,4.9,366,6,20,25,15,15,10,85,6,Tier 1
Supercuts,https://www.supercuts.com/locations/nearme/haircut/ma/boston/250-cambridge-st/81018,"250 Cambridge St, Boston, MA 02114",(617) 644-0467,https://www.instagram.com/biancablends/,1275,4.4,553,10,10,25,12,20,10,77,7,Tier 2
Boston Blendz Barbershop,https://www.bostonblendz.com/,"8 Hyde Park Ave, Jamaica Plain, MA 02130",(617) 390-5511,https://www.instagram.com/bambam1109/,16000,4.8,136,4,30,10,15,10,10,75,8,Tier 2
Z Barbershop,http://www.zbarbershop.com/,"536 Columbus Ave, Boston, MA 02118",(774) 777-8777,https://www.instagram.com/zbarbershopboston/,973,4.8,551,9,5,25,15,20,10,75,9,Tier 2
Temple of Groom Barber Lounge,http://www.templeofgroombarbershop.com/,,(617) 945-1621,https://www.instagram.com/templeofgroom/,1938,4.6,390,6,10,25,15,15,10,75,10,Tier 2
Atlas Barber Shop,http://atlasbarbershop.net/,"1663 Beacon St, Brookline, MA 02445",(617) 803-5966,https://www.instagram.com/atlas_barbershop/,14000,4.8,61,4,30,10,15,10,10,75,11,Tier 2
Skips Barbershop,http://www.skipsbarbershop.com/,"603 Tremont St, Boston, MA 02118",(617) 982-7981,https://www.instagram.com/skipsbarbershop/,1408,4.9,415,5,10,25,15,15,10,75,12,Tier 2
